| Modul                    | Beschreibung                                      | Status |
| `posix`                  | POSIX-Syscalls                                    | ✅ (stub, SD-Dateizugriff) |
| `pty`                    | Pseudo-Terminals                                  | ❌ (Linux only) |
| `pwd`                    | Unix-Benutzerinformationen                        | ❌ (POSIX only) |
| `pyexpat`                | XML-Parser Expat                                  | ✅ |
| `_queue`                 | C-Impl. für `queue.SimpleQueue`                   | ✅ (.so SD-Karte) |
| `_random`                | Schneller Zufallszahlengenerator                  | ✅ |
| `readline`               | Kommandozeilen-Editing                            | ❌ |
| `resource`               | Unix-Ressourcenlimits                             | ❌ (POSIX only) |
| `_scproxy`               | macOS Proxy-Unterstützung                         | ❌ (macOS only) |
| `select`                 | Socket-/Datei-Multiplexing                        | ✅ (selectmodule_wii.c, net_select + net_poll) |
| `_sha1`                  | SHA-1 (HACL*)                                     | ✅ |
| `_sha2`                  | SHA-2 (HACL*)                                     | ✅ |
| `_sha3`                  | SHA-3 (HACL*)                                     | ✅ |
| `_signal`                | Signal-Behandlung                                 | ✅ (built-in) |
| `_socket`                | Netzwerk-Sockets (lwIP via libogc)                | ✅ |
| `_sqlite3`               | SQLite-Datenbank (Amalgamation 3.46.0)            | ✅ (.so SD-Karte, OMIT_WAL/OMIT_MMAP) |
| `_sre`                   | C-Kern für Regex                                  | ✅ (built-in) |
| `_ssl`                   | TLS/SSL (mbedTLS 4.0, PSA API)                    | ✅ (vollständig implementiert) |
| `_stat`                  | Datei-Stat-Konstanten                             | ✅ (built-in) |
| `_statistics`            | Statistik-Hilfsfunktionen                         | ✅ |
| `_string`                | C-Kern für String-Formatierung                    | ✅ (built-in) |
| `_struct`                | Binärdaten packen/entpacken                       | ✅ |
| `syslog`                 | Unix-Systemlog                                    | ❌ (POSIX only) |
| `termios`                | Terminal-Steuerung                                | ❌ (POSIX only) |
| `_thread`                | Low-Level-Threading                               | ✅ (built-in, GIL-Stubs) |
| `time`                   | Zeitfunktionen                                    | ✅ (built-in) |
| `_tkinter`               | Tk-GUI                                            | ❌ |                                  ####
| `_tracemalloc`           | Speicher-Tracing                                  | ✅ (built-in) |
| `unicodedata`            | Unicode-Datenbank                                 | ✅ |
| `_uuid`                  | UUID-Erzeugung (libuuid)                          | ✅ |
| `_warnings`              | C-Kern für `warnings`                             | ✅ (built-in) |
| `_weakref`               | Schwache Referenzen                               | ✅ (built-in) |
| `_winapi`                | Windows-API                                       | ❌ (Windows only) |
| `wiitools`               | Wii-Hardware (libogc, curl, mbedTLS, LodePNG)     | ✅ (custom) |
| `xxlimited`              | CPython-Testmodul (Limited API)                   | ✅ (.so SD-Karte) |
| `xxlimited_35`           | CPython-Testmodul (Limited API 3.5)               | ✅ (.so SD-Karte) |
| `xxsubtype`              | CPython-Testmodul (Subtypen)                      | ✅ (.so SD-Karte) |
| `zlib`                   | Deflate-/ZIP-Kompression                          | ✅ |
| `_zoneinfo`              | Zeitzonen-Datenbank                               | ✅ |
